Name,Birthday,CountriesActive,YearsActive,ProvenVictims,PossibleVictims,Notes,Type,Nickname
Kristen Gilbert,11/13/1967,United States,1990-1996,5,70,"Nurse at a Massachusetts Veterans Medical Center who injected male patients with epinephrine, causing heart attacks. Sentenced to life without parole.",Medical,
Amy Archer-Gilligan,10/31/1873,United States,1910-1917,5,48,"A nursing home proprietor believed to have poisoned as many as 60 patients from her homes and her second husband. Charged with five murders originally, this was lowered to just one following her admission of guilt, and was found guilty of second degree murder. Died in a mental hospital in 1962.",Medical,"Amy E. Duggan, Sister"
Michael Swango,10/21/1954,United States Zimbabwe,1981-1997,4,47,Medical Doctor who killed patients.,Medical,
Kermit Gosnell,2/9/1941,United States,1989?-2011,4,100,"Gosnell, who ran an abortion clinic, was charged with eight and convicted of four murders. Three babies were born alive, then killed by cutting the infant's spine with scissors. One mother died due to complications. Testimony indicated hundreds of similar procedures carried out by Gosnell and his staff.",Medical,
Edson Izidoro Guimarães,,Brazil,1999 and earlier,4,131,"Nurse who injected patients with potassium chloride or removed their oxygen mask. Confessed to five murders which he claimed to be mercy killings and was convicted of four in 2000; sentenced to 76 years in prison. He may have killed as many as 131 patients for money, as he was paid $60 for informing local funeral homes of a patient's death so that they could contact the deceased's relatives first.",Medical,
Richard Angelo,8/29/1962,United States,1987,4,25,"New York nurse convicted of four murders, linked to six other deaths. Suspected of killing up to 25 people.",Medical,The Angel of Death
Beverley Allitt,10/4/1968,United Kingdom,1991,4,,Convicted of murdering four children and attacking another six in the Lincolnshire hospital where she worked as a nurse. Given 13 life sentences.,Medical,
Andrés Ulises Castillo Villarreal,,Mexico,2009-2015,3,12,"Drugged, raped and then killed men in Chihuahua; sentenced to 120 years imprisonment.","Medical, Rapist",The Chihuahua Ripper
Elfriede Blauensteiner,1/22/1931,Austria,1981-1995,3,10,Poisoned people for material gain; died from a brain tumor in 2003.,Medical,The Black Widow
Carl Eugene Watts,11/7/1953,United States,1974-1982,14,80,"Believed to have killed over 80 women in multiple states, in 1982 Watts accepted a plea bargain in Texas in which he would plead guilty to a lesser charge and be granted immunity from murder charges in exchange for providing information on his victims; as a result he confessed to 12 murders and was sentenced to 60 years in prison on the lesser charge. He was sentenced to life imprisonment in separate trials in Michigan in 2004 and 2007, and died of cancer a week after the 2007 sentence was handed down.","Serial Killer, Strangler, Stalker","Coral Watts, The Sunday Morning Slasher"
Philipp Tyurin,,Soviet Union,1945-1946,14,29,Murdered people for monetary reasons at his hut in Leningrad; executed 1947.,,"Leningrad Maniac, The Hellraiser"
Zdzisław Marchwicki,10/18/1927,Poland,1964-1970,14,21,"Killed 14 women in 1964–1970 in Poland's region of Dąbrowa Basin. Zdzisław Marchwicki was most likely the man responsible for the killings; however, his guilt remains in dispute. Executed in 1977.",,Vampire of Zagłębie
Pietro Pacciani,,Italy,1968-1985,14,16,"Unidentified killer who shot couples in lovers lanes and mutilated the women, taking their sexual organs and in the last two cases, also their left breast. 69-year-old farmer Pietro Pacciani was controversially convicted of 14 crimes in 1994 and sentenced to life in prison, but he was released following allegations that the scant evidence had been planted in an attempt to close the case, which was by then the largest and most mediatic in Italy's criminal history. Pacciani was scheduled for retrial in 1998 when he died after taking medication contraindicated to his heart problems. Pacciani's two alleged accomplices, Mario Vanni and Giancarlo Lotti, were sentenced to life and 30 years in prison, respectively. Some believe that none of the accused were guilty, and that Lotti incriminated himself and the other two because he was homeless and wanted to live in prison.",,The Monster of Florence
Joachim Kroll,4/17/1933,West Germany,1955-1976,14,,Died from a heart attack in prison in 1991.,"Cannibal, Strangler, Rapist, Necrophiliac","Ruhr Cannibal, The Duisburg Man-Eater"
Arthur Shawcross,6/6/1945,United States,1972-1989,14,,"Committed arson and burglary, served two years of a five-year sentence. Within a year of his release, he raped and murdered two children in 1972. Under a plea bargain, he was sentenced to 25 years. Released after serving 141/2 years, he began killing again a year later, targeting prostitutes. He strangled and battered his victims. Sentenced to life without parole. Died of cardiac arrest in 2008.",Strangler,"Genesee River Killer, Genesee River Strangler, Rochester Strangler, Monster of the Rivers"
The Doodler,,United States,1974-1975,14,,"Unidentified serial killer who sketched then stabbed to death 14 gay men in San Francisco. Surviving victims did not wish to testify, so the killer was not identified.",,
Marcelo Costa de Andrade,1/2/1967,Brazil,1991,14,,Raped and killed 14 children in Rio de Janeiro and Niterói. Drank the blood of his victims. Found not guilty by reason of insanity.,"Vampire, Rapist, Pedophile, Necrophiliac",The Vampire of Niterói
Julio Pérez Silva,7/15/1963,Chile,1998-2001,14,,Killed 14 women. Sentenced to life imprisonment in 2004.,,The Psychopath from Alto Hospicio
Sergey Shipilov,5/17/1959,Russia,1995-1999,14,,"Killed female hitchhikers in the town of Velsk, most of them while out on prison leave; sentenced to life imprisonment.",,Velsk Chikatilo
Abdufatto Zamanov,4/7/1973,Russia,2002-2004,14,,Killed people out of personal hostility; also raped two young girls; sentenced to life imprisonment.,Rapist,
Jeong Nam-gyu,3/1/1969,South Korea,2004-2006,14,,"Kidnapped, raped and murdered people; committed suicide.",Rapist,
Amir Qayyum,,Pakistan,2005,14,,Killed 14 homeless men with rocks or bricks when they were asleep. Sentenced to death in May 2006.,,The Brick Killer
Jake Bird,12/14/1901,United States,1930s-1947,13,44,"Bird had an extensive criminal record including burglary and attempted murder. Bird was arrested in 1947 and was sentenced to death for the murders of two victims. In 1948, Bird was scheduled for execution but it was postponed when he confessed to a total of forty-six murders. Eleven of the forty-six victims were substantiated and he was considered a prime suspect in the remaining crimes. In 1949, Jake Bird was executed by public hanging at Washington State Penitentiary in Walla Walla, Washington.","Rapist, Stalker",The Tacoma Ax-Killer
Belle Gunness,11/22/1859,United States,1900?-1908?,13,40,"Norwegian-born murder-for-profit killer who murdered her suitors and relatives in Indiana. High possibility of committing over 40 murders. May have faked her own death in the fire that destroyed her home in 1908; her children had died of strychnine poisoning before the fire, and the woman's body found next to them was decapitated and, reportedly, smaller than Gunness' own. Ultimate fate unknown.","Strangler, Stalker","Hell's Belle, Brynhild Paulsdatter Størseth"
Cleveland Torso Murderer,,United States,1934-1938,13,40,"Unidentified serial killer, also known as ""The Mad Butcher of Kingsbury Run"", who targeted drifters and derelicts, of whom only two were identified, between 1934 and 1938 in Cleveland, Ohio.[134]",,
Kaspars Petrovs,,Latvia,2003,13,38,"Confessed to strangling 38 elderly residents of Riga, Latvia, in 2003. Convicted and sentenced to life imprisonment for the robbery and murder of 13.",,
Richard Ramirez,2/29/1960,United States,1984-1985,13,20,"Killed 13 people between 28 June 1984, and 24 August 1985, in Los Angeles.Ramirez used a wide variety of weapons, including handguns, knives, a machete, a tire iron, and a hammer. Richard Ramirez was captured as a crowd of bystanders surrounded him, beat him, and held him until police arrived to arrest him. Ramirez was sentenced to death in 1989, and died of B-cell lymphoma in 2013 while still on death row.","Rapist, Torturer, Strangler, Stalker",Night Stalker
Sleepy Hollow Killer,,South Africa South Africa,1990s-2007,13,16,"Raped and murdered women, mostly sex workers, around Pietermaritzburg and the Midlands of KwaZulu-Natal.",Rapist,
Peter Sutcliffe,6/2/1946,United Kingdom,1975-1980,13,15,"Killed 13 women between 30 October 1975, and 17 November 1980. Most victims were killed by a combination of bludgeoning and stabbing, and all but two were killed in the county of Yorkshire. Owing to the modus operandi and location of the murders, Sutcliffe became known as the ""Yorkshire Ripper."" Sentenced to 20 concurrent life sentences. After three years he was sent to a secure psychiatric facility, where he served 25 years before being found ""fit to leave"" in 2009. Government officials and courts ruled in 2010 that he will never be released. In 2015, he was declared ""no longer mentally ill,"" and transferred to a maximum security prison.",,Yorkshire Ripper
Francisco Antonio Laureana,,Argentina,1974-1975,13,13,"Raped 15 women in San Isidro, killing 13 of them. Shot and killed during a firefight with police.[140]",,
Tamara Samsonova,4/25/1947,Russia,1995-2015,13,13,Killed and allegedly cannibalized people in her apartment; committed to a psychiatric clinic.,Cannibal,"Granny Ripper, Baba Yaga"
Herbert Mullin,4/18/1947,United States,1972-1973,13,,"Despite detailed confessions, prosecutors decided not to try him for the first three crimes, instead focusing on crimes that conflicted with his insanity plea. Sentenced to imprisonment for life.",,The Psychopath of Santa Cruz
Albert DeSalvo,,United States,1962-1964,13,,"Although Albert DeSalvo was widely thought to be the Boston Strangler, police and others analysing the case have long doubted the truth of his confession. Sentenced to life for a series of rapes, he was murdered in prison. DeSalvo's body was exhumed for DNA testing, and compared to a substance found on the exhumed body of the Boston Strangler's last victim. In 2001, it was declared not to match, but in 2013 officials announced that improvements in DNA extraction technology produced viable samples from the degraded evidence. DeSalvo's body was reexhumed and found to match.","Rapist, Strangler",Boston Strangler
Lorenzo Gilyard,5/24/1950,United States,1977-1993,13,,Killed up to 13 prostitutes in the Kansas City area from 1977 to 1993. Sentenced to life in 2007.,Strangler,The Kansas City Strangler
Vladimir Storozhenko,,Soviet Union,1978-1981,13,,Tortured and murdered women for sexual pleasure; four other inncent men were initially convicted for his crimes; executed 1984.,"Strangler, Torturer",Smolensky Strangler
Vasiliy Kulik,1/17/1956,Soviet Union,1984-1986,13,,Killed at least 13 victims from 1984–1986. Executed by firing squad in 1989.,,The Irkutsk Monster
Nikolai Dudin,12/22/1973,Soviet Union Russia,1987-2002,13,,"Killed his father in 1987, and after release, killed 12 more people while intoxicated; sentenced to life imprisonment.",,The Grim Maniac
Denis Pischikov,3/12/1983,Russia,2002-2003,13,,Robbed and killed elderly people around the Moscow Oblast and Vladimir Oblast; sentenced to life imprisonment.,,The Shivering Creature
Nikolay Shubin,,Russia,2004-2006,13,,Paranoid schizophrenic who killed people who beat him in chess games; sentenced to compulsory treatment.,,
Johannes Mashiane,,South Africa,1982-1989,13,,He was found guilty of 13 counts of murder and 12 counts of sodomy from 1982–1989. Committed suicide by throwing himself under a bus while being pursued by police in 1989.,,The Beast of Atteridgeville
Mukosi Freddy Mulaudzi,,South Africa South Africa,1990-2006,13,,"Escaped convict, originally responsible for two murders, who murdered 11 more after his prison escape; given 11 life sentences.",,The Limpopo Serial Killer
Thozamile Taki,,South Africa,2007,13,,He murdered 13 women. Convicted in 2010.,,Sugar cane serial killer
Rainbow Maniac,,Brazil,2007-2008,13,,"Unidentified serial killer who shot gay men in the head (except one, who was bludgeoned) in the Paturis Park of Carapicuiba.",,
Naceur Damergi,,Tunisia,1980s-1988,13,,Raped and killed minors in the Nabeul region; executed by hanging in 1990.[155],,
Adolf Seefeldt,3/6/1870,German Empire Weimar Republic Nazi Germany,1908-1935,12,100,"Sexually abused young boys in their sleep, then poisoned them; suspected of 100 murders in total.[156] Executed by guillotine in 1936.",Pedophile,The Sandman
Donald Henry Gaskins,3/13/1933,United States,1953-1982,12,55,Gaskins was convicted of nine murders committed in South Carolina between 1973 and 1975. He was suspected of 31 murders. Two victims had been murdered while Gaskins had been incarcerated—one while Gaskins had been on death row. Later claimed on death row that he had murdered between 80 and 110 victims. Executed by electric chair in 1991.,,"The Meanest Man in America, Pee Wee"
William Suff,8/20/1950,United States,1986-1992,12,22,"Previously served 10 years of a 70-year sentence for beating his baby daughter to death. Beginning two years after his release, this county store clerk raped, stabbed, strangled, and sometimes mutilated 12 or more prostitutes in Riverside County, California. Known as the ""Riverside Prostitute Killer"" and the ""Lake Elsinore Killer."" Sentenced to death.[158]","Rapist, Torturer, Strangler","Riverside Prostitute Killer, Lake Elsinore Killer"
Vladimir Romanov,,Soviet Union Russia,1991-2005,12,20,Pedophile who raped and murdered girls and young women in the Kaliningrad Oblast; committed suicide while imprisoned.,"Pedophile, Rapist",The Kaliningrad Maniac
Maury Travis,10/25/1965,United States,2000-2002,12,17,"He killed prostitutes in the St. Louis area from 2000 to 2002. Travis was caught when he mailed an Expedia.com map printout to a St. Louis newspaper, police traced the printout to Travis' home computer. He claimed to have murdered seventeen women in a letter sent with the map. Investigators discovered a chamber at his residence which included instruments of torture and videotapes of Travis committing some of his crimes. Maury Travis committed suicide in his jail cell, after being arrested for murder on June 7th 2002.","Serial Killer, Torturer, Strangler",The Video Strangler
Dennis Nilsen,11/23/1945,United Kingdom,1978-1983,12,15,"Nilsen murdered and dismembered young men in London between 1978 and 1983. Nilsen observed a ritual in which he bathed and dressed the victims' bodies before dissecting and disposing of the remains. He kept various body parts around his home for an extended amount of time. Nilsen died at York Hospital in 2018 while still in custody. He had been transferred to the hospital after complaining of stomach pains, during surgery a blood clot ended his life.","Necrophiliac, Strangler, Rapist","The Muswell Hill Murderer, the Kindly Killer"
Kenneth Bianchi,5/22/1951,United States,1977-1978,12,15,"Convicted of strangling 12 female victims aged 12 to 28 and suspected in another three cases. One of the ""Hillside Stranglers"". Sentenced to imprisonment for life.","Strangler, Rapist, Torturer, Stalker","One of the ""Hillside Stranglers"""
Charles Sobhraj,4/6/1944,Thailand   Nepal India Malaysia,1975-1976,12,13,"French con man that targeted Western tourists in vacation spots of South-east Asia, often with the help of female accomplices. Imprisoned in India from 1976 to 1997, and from 2004 serving a life sentence in Nepal.",,"The Bikini Killer, The Serpent"
Abdallah al-Hubal,,Yemen,1990-1998,12,,"Killed seven people after a Yemeni reunion; fled prison, then proceeded to kill a young couple and three more people; killed during a shootout with police.",,
Nikolai Shestakov,,Soviet Union,1975,12,,Truck driver who raped and killed girls and young women; supposedly executed in 1977.,Rapist,The Luberetsky Maniac
Anatoly Sedykh,4/20/1963,Russia,1998-2003,12,,"Raped and killed women around Lipetsk, then robbed their corpses; sentenced to life imprisonment.",Rapist,
Joseph Christopher,7/26/1955,United States,1980-1981,12,,"Racist who killed 12 people, all but one of them African Americans, in 1980 and 1981, between upstate New York and Georgia, mutilating two of them. Sentenced to life imprisonment, died in prison age 33 of breast cancer.",,The Midtown Slasher
"""Paraquat murders"" killer",,Japan,1985,12,,Unidentified serial killer who carried out a series of indiscriminate poisonings in Japan in 1985 that killed 12.,,
Enriqueta Martí,2/2/1868,Spain,1900-1912,12,12,"Self-proclaimed witch that abducted, prostituted, murdered and made potions with the bodies of small children that she sold in Barcelona. Remains of 12 different children were identified in her home, but she is believed to have murdered more. Murdered in prison by fellow immates while awaiting trial in 1913.",Vampire,"The Vampire of Barcelona, The Vampire of the Raval"
Herb Baumeister,4/7/1947,United States,1990-1996,13,25,Strangled gay men and buried their bodies in his backyard in Indiana and Ohio; 11 men were found in the yard but only five were identified. Committed suicide by shooting himself when faced with arrest.,"Strangler, Torturer",The I-70 Strangler
John Bunting,,Australia,1992-1999,11,,Ringleader in the Snowtown murders (aka Bodies in the Barrels Murders); sentenced to 11 consecutive life sentences without the possibility of parole.,,
Sergey Golovkin,11/26/1959,Soviet Union Russia,1986-1992,11,40,Killed at least 11 boys in the Moscow area between 1986 and 1992. Executed by gunshot in 1998; last person executed in Russia before the death penalty was abolished.,"Rapist, Necrophiliac, Torturer, Strangler","The Fisher, The Boa"
Juana Barraza,12/27/1957,Mexico,late 1990s-2006,11,39,Female wrestler who bludgeoned or strangled elderly women to rob them. Sentenced to 759 years.,"Rapist, Strangler","La Mataviejitas, The Old Lady Killer"
Zhang Yongming,,China,2008-2012,11,18,Sold flesh of his victims as 'ostrich meat' and kept eyeballs in wine. Executed.,"Cannibal, Strangler","The Cannibal Killer, the Cannibal Monster of Yunnan"
Jack Unterweger,8/16/1951,Austria United States Czechoslovakia,1974-1992,11,15,"Served 14 years in Austrian prison because of a murder in 1974; killed at least nine prostitutes after his release. Was a small media star in Austrian media in the early 1990s and, on behalf of Austrian police, was arrested in the US, where he may have killed another three prostitutes. Hanged himself in 1994 after being sentenced to life in prison.","Rapist, Strangler","Jack the Writer, Häfenliterat"
Vaughn Greenwood,,United States,1964-1975,11,13,"Killed 11 people, suspected of two more. Cut victims' throats from ear to ear and may have drank their blood. Sentenced to imprisonment for life.",Vampire,Skid Row Slasher
Benjamin Atkins,8/26/1968,United States,1991-1992,11,,"Raped and strangled his victims before abandoning their bodies in vacant buildings. Died in prison in 1997, age 29, from AIDS.","Rapist, Strangler",The Woodward Corridor Killer
Nannie Doss,11/4/1905,United States,1927-1954,11,,"Doss' preferred method of killing was poisoning by arsenic. She killed four husbands, two children, her two sisters, her mother, a grandson, and a mother-in-law. Her husband, Samuel Luther Doss, died on October 12th 1954. Doss pled guilty on May 17th 1955, and was sentenced to life imprisonment. Nannie Doss died from leukemia in the hospital ward of the Oklahoma State Penitentiary on June 2nd 1965.",,"Giggling Nanny, Giggling Granny, Jolly Black Widow"
Clifford Olson,1/1/1940,Canada,1980-1981,11,,"Considered a dangerous offender, meaning that Olson could never have been released from prison. He had three parole applications rejected. Died from cancer in 2011.","Rapist, Strangler",The Beast of British Columbia
Henri Désiré Landru,4/12/1869,France,1915-1919,11,,"He put notes in the lonely hearts section of newspapers under different aliases, presenting himself as a widower that wanted to marry a war widow. He killed at least 10 women and the teenage son of one of them, and burned their bodies after he had gained access to their assets. Executed by guillotine in 1922.",,Bluebeard
West Mesa Killer,,United States,2003-2005,11,,"Remains of 11 women, who disappeared between 2003 and 2005, were found buried in the desert in Albuquerque, New Mexico in 2009 and attributed to a bone collector.",,
Anthony Sowell,8/19/1959,United States,2007-2009,11,,"He was convicted of killing 11 women between 2007 and 2009, and is suspected in another series of murders in the 1980s, with the two sets of killings separated by a 15-year stint in prison. Sentenced to death.","Rapist, Necrophiliac, Strangler",The Cleveland Strangler
Andre Crawford,3/20/1962,United States,1993-1999,11,,Crawford committed acts of necrophilia after murdering eleven women between 1993 and 1999. Sentenced to life in prison. He was a transient who lived in vacant buildings in Chicago.,"Necrophiliac, Rapist, Strangler",
Francisco García Escalero,5/24/1948,Spain,1987-1994,11,,"A necrophilic, schizophrenic homeless man found insane and confined to a psychiatric hospital after killing 11 prostitutes and other homeless people between 1987 and 1994.Died in 2014.","Necrophiliac, Cannibal, Rapist",The Killer Beggar
Robledo Puch,1/22/1952,Argentina,1971,11,,Convicted of 11 murders and multiple other crimes including attempted murder and sexual assault. Sentenced to life imprisonment in 1980.,"Torturer, Strangler","The Unisex, The Death Angel, The Black Angel"
Adnan Çolak,9/5/1952,Turkey,1992-1995,11,,Killed 11 elderly women aged 68 to 95 and raped six others. Sentenced to death but commuted to life in prison after Turkey abolished the death penalty in 2004.,Rapist,"Artvin Monster, The Beast of Artvin, Artvin Canavari"
Seisaku Nakamura,,Japan,1938-1942,11,,"Teenage serial killer known as the ""Hamamatsu Deaf Killer"" for having being born deaf. Murdered 11 people (including his brother) and attacked many others, among them his father, sister, brother-in-law and nephew. Tried as an adult and executed by hanging.",,Hamamatsu Deaf Killer
Very Idham Henyansyah,2/1/1978,Indonesia,2008 and earlier,11,11,"Known as the ""singing serial killer"" and ""Ryan"", the artistic name he adopted while awaiting his execution in prison, where he recorded an album and wrote his autobiography. ""Ryan"" confessed to murdering 11 people including a toddler; 10 of his victims were buried in his parents' home backyard while the last one was butchered and hidden in a suitcase. Sentenced to death.",N/A,"Singing serial killer, Ryan"
Francisco de Assis Pereira,11/29/1967,Brazil,1997-1998,11,,"Rapist and serial killer. He was arrested for the torture, rape and death of 11 women and for assaulting nine in a park in São Paulo, Brazil during the 1990s. Pereira found his victims by posing as a talent scout for a modeling agency. Sentenced to 268 years.","Rapist, Torturer","O Maníaco do Parque, The Park Maniac"
Roshu Kha,,Bangladesh,2008,11,,Raped and murdered garment workers after being rejected by his lover. Sentenced to death.,Rapist,
"Chinese Jack the Ripper, The Silver City Serial Killer",11/10/1964,China,1998-2002,11,,Killed women and then mutilated their corpses. Executed in 2019.,"Rapist, Necrophiliac",Chinese Jack the Ripper
Marie Alexandrine Becker,7/14/1879,Belgium,1933-1936,11,,Poisoned wealthy clients while working as a seamstress. Died in prison in 1942.,,
Ruslan Khamarov,,Ukraine,2000-2003,11,,"Seduced, raped and then killed women in his home; sentenced to life imprisonment.",Rapist,
Yevgeny Petrov,12/17/1975,Russia,1998-2003,11,,"Pedophile who kidnapped, raped and killed young girls around Novouralsk, mutilating and burning their corpses afterwards; sentenced to life imprisonment.","Pedophile, Rapist",Novouralsk Ripper
Rudolf Pleil,7/7/1924,West Germany,1946-1947,10,25,Convicted of killing a salesman and nine women. Claimed to have killed 25. Committed suicide by hanging in 1958.,,"Der Totmacher (""The Deadmaker"")"
Milton Johnson,5/15/1950,United States,1983,10,17,Killed up to 17 people. Sentenced to life without parole.,,The Weekend Murderer
Long Island serial killer,,United States,1996-2011,10,14,"Unidentified serial killer also known as ""The Gilgo Beach Killer"". Believed to have murdered 10 to 14 people associated with the sex trade over a period of 15 years.",,The Gilgo Beach Killer
Daniel Lee Siebert,6/17/1954,United States,1979-1986,10,13,Convicted of a 1979 manslaughter; killed 10 people across America in three months in mid-1980s including two children and a Southside Slayer victim. Sentenced to death; died from cancer in prison in 2008.,,Southside Slayer (possibly)
Joseph James DeAngelo,,United States,1979-1986,12,,"Top suspect in the murders committed by ""Golden State Killer"", ""Original Night Stalker"", and ""East Area Rapist"". Committed at least 12 murders, 50 rapes, and 120 burglaries across California in the 1970s and 1980s. He was identified and arrested in 2018 after DNA evidence confirmed it was him.","Rapist, Serial Killer","Golden State Killer, Original Night Stalker, East Area Rapist"
Lonnie David Franklin Jr.,8/30/1952,United States,1985-2007,10,25,"Known as the ""Grim Sleeper"" for the alleged 14-year hiatus he took from murdering between 1988 and 2002. Shot and strangled his victims, mostly women, around South Los Angeles. Sentenced to death.",,Grim Sleeper
Sergey Cherny,5/11/1977,Russia,1999,10,11,Strangled women around Smolensk; suspected of the drowning death of another woman; died in 2001 from pneumonia while in a special psychiatric hospital.,Strangler,
Bobby Joe Long,10/14/1953,United States,1984,10,10,"Killed 10 women in Tampa Bay, Florida in 1984. Sentenced to death. Executed by lethal injection on 23 May 2019.",,The Classified Ad Rapist
Stewart Wilken,11/11/1966,South Africa,1990-1997,10,10,"Wilken's raped sodomised and murdered ten victims on the east coast of South Africa. Wilken's committed acts of cannibalism and necrophilia during his crimes. Wilken's was reported to have cut off and ate a nipple of one of his victims. One of his victims was his own daughter who disappeared in 1995. Sentenced to seven terms of life imprisonment on February 23, 1998.","Rapist, Torturer, Cannibal, Necrophiliac, Strangler","Boetie Boer, Brother Farmer"
David Randitsheni,,South Africa,2004-2008,10,10,"Kidnapped 19 people, raped 17, and murdered 10. Sentenced to 16 consecutive life sentences plus 220 years in prison; hanged himself three weeks after conviction.",Rapist,
Edmund Kemper,12/18/1948,United States,1964-1973,10,,"At age 15, he confessed to murdering his grandparents and served six years as a criminally insane juvenile. He was released in 1969. In 1972 and 1973, he murdered and dismembered six young women, then killed his mother and her friend. He was sentenced to eight counts of seven years to life.","Rapist, Cannibal, Necrophiliac, Strangler","The Co-ed Butcher, The Co-ed Killer"
Dennis Rader,3/9/1945,United States,1974-2004,10,,"Rader gave himself the name BTK standing for Bind, Torture, Kill. He murdered ten people in Sedgwick County (in and around Wichita), Kansas, between 1974 and 1991. During his spree he sent letters to the police and newspapers describing the details of his crimes. In one letter Rader demanded media attention for his crimes.","Torturer, Strangler, Stalker","BTK Killer, Bind Torture Kill"
Ali Kaya,,Turkey,1997-present,10,,Responsible for 10 murders. Escaped from prison and later recaptured.,,
Robert Wagner,,Australia,1992-1999,10,,Secondary ringleader in the Snowtown murders and best friend of John Justin Bunting; sentenced to 10 consecutive life sentences without the possibility of parole.,,
